firstSim,secondSim,id1,id2
0.65,0.64285713,Multiple,Multiple
0.9285714,0.369863,Multiple,Multiple
0.9285714,0.15359478,Multiple,Multiple
0.9285714,0.1574344,Multiple,Multiple
0.9285714,0.1955836,Multiple,Multiple
0.83870965,0.23753665,Multiple,Multiple
0.9285714,0.15476191,Multiple,Multiple
0.48,0.23026316,A10BF,A10BF
0.48,0.22510822,A10BF,A10BF
0.07920792,0.18666667,Multiple,N06AX
0.9574468,0.25949368,Multiple,N06AX
0.18468468,0.13238771,Multiple,N06AX
0.16015625,0.171875,Multiple,N06AX
0.24064171,0.18426967,Multiple,N06AX
0.9361702,0.28806585,Multiple,N06AX
0.24858756,0.21212122,Multiple,N06AX
0.9361702,0.88435376,Multiple,N06AX
0.9714286,0.74452555,G03CA,Multiple
0.73913044,0.6435986,G03CA,Multiple
0.8095238,0.60841423,G03CA,G03CA
0.73913044,0.63917524,G03CA,Multiple
0.8888889,0.49529782,S01EE,S01EE
0.4848485,0.5217391,S01EE,S01EE
0.35555556,0.6424731,D07AC,Multiple
0.35555556,0.5313433,D07AC,Multiple
0.35555556,0.51632047,D07AC,Multiple
0.23376623,0.62077296,D07AC,Multiple
0.35555556,0.79036826,D07AC,Multiple
0.35555556,0.62096775,D07AC,D07AC
0.35555556,0.66288954,D07AC,Multiple
0.95555556,0.35774648,D07AC,Multiple
0.35555556,0.44444445,D07AC,Multiple
0.35555556,0.4764398,D07AC,Multiple
0.35555556,0.42732558,D07AC,Multiple
0.35555556,0.43142858,D07AC,Multiple
0.35555556,0.8725212,D07AC,Multiple
0.35555556,0.57738096,D07AC,Multiple
0.08928572,0.79651165,D07AC,Multiple
0.35555556,0.7267442,D07AC,Multiple
0.35555556,0.71549296,D07AC,D07AC
0.14084508,0.23768736,N01AX,Multiple
0.16455697,0.14671814,N01AX,N01AX
0.14556962,0.2024922,N01AX,Multiple
0.23214285,0.05533597,N01AX,Multiple
0.2413793,0.48824593,L01BA,Multiple
0.29268292,0.49657536,L01BA,L01BA
0.97183096,0.4409091,G03AC,G03AC
0.3472222,0.60251045,G03AC,Multiple
0.4509804,0.89944136,G03AC,Multiple
0.78409094,0.6519337,G03AC,Multiple
0.97183096,0.7704918,G03AC,Multiple
0.32394367,0.89944136,G03AC,G03AC
0.97979796,0.9795571,Multiple,Multiple
0.97979796,0.7819672,Multiple,N02AA
0.7058824,0.16838488,Multiple,Multiple
0.24657534,0.3245997,Multiple,N04BC
0.97979796,0.7385103,Multiple,N02AA
0.047904193,0.52061856,Multiple,R05DA
0.040983606,0.058721934,Multiple,D10AX
0.27173913,0.36453202,Multiple,Multiple
0.116504855,0.21885522,Multiple,Multiple
0.03937008,0.50784075,Multiple,G04BE
